number,category,confidence,area,version,has_repro,likely_fixed_by_port,summary,html_url
15006,not-memory,high,transpiler/resolver,1.1.34,yes,no,SyntaxError 'Export named X not found' when CJS dep re-exports type-only symbols via __exportStar (NestJS cache-manager),https://github.com/oven-sh/bun/issues/15006
15020,leak,medium,fs/Blob,1.1.34,yes,yes,Bun.file().text() and fs.readFile retain ~1GB RSS after reading many large files; GC doesn't reclaim (Jarred: high but not unbounded),https://github.com/oven-sh/bun/issues/15020
15055,leak,medium,napi,1.1.34,yes,no,Heap grows unbounded calling rrule-rust napi module's set.between() in a loop,https://github.com/oven-sh/bun/issues/15055
15072,not-memory,high,jsc,1.1.34,yes,no,"RangeError: BigInt too big — JSC caps BigInt at 2^20-1 bits vs V8's 2^30-1 (engine limitation, not a crash)",https://github.com/oven-sh/bun/issues/15072
15157,assert,high,transpiler/js_parser,1.1.35-canary,yes,yes,panic 'Internal error: attempted to call popScope() on the topmost scope' in js_parser during bun test with preload,https://github.com/oven-sh/bun/issues/15157
15196,crash,medium,install/lockfile,1.1.34,no,yes,bun install SIGSEGV at 0x312E6D66 (ASCII bytes as pointer) after adding reactflow; removing package fixes it,https://github.com/oven-sh/bun/issues/15196
15249,crash,high,install/http,1.1.34,no,no,"panic 'Failed to start HTTP Client thread: Unexpected' during bun install in alpine Docker (pthread_create fails, likely ulimit)",https://github.com/oven-sh/bun/issues/15249
15281,crash,high,http_server/uws,1.1.34,no,yes,SIGSEGV at 0x50 in uWS::HttpContext on_close callback (us_socket_close) during Bun.serve event loop tick,https://github.com/oven-sh/bun/issues/15281
15291,needs-repro,low,napi,1.1.36,no,no,Prisma with log:['info'] throws 'Call JavaScript callback failed in threadsafe function' (FunctionExpected); user cannot reproduce in fresh project,https://github.com/oven-sh/bun/issues/15291
15299,crash,medium,http_server/runtime,1.1.29,yes,no,SIGSEGV at 0x0 (no frames) on Windows running Next.js 15 dev server via bun --bun after rapid page reloads,https://github.com/oven-sh/bun/issues/15299
15316,not-memory,medium,shell,1.1.36,yes,yes,"Bun.$ stdin redirection bug causes spawned gpatch to misread input and emit 'out of memory' (child error, not a Bun crash)",https://github.com/oven-sh/bun/issues/15316
15329,crash,high,watcher/hot-reload,1.1.34,yes,yes,--watch panics 'Failed to enable File Watcher: ProcessFdQuotaExceeded' instead of reporting a recoverable error,https://github.com/oven-sh/bun/issues/15329
15475,not-memory,high,http/server,,no,no,Feature request to pass Request to Bun.serve error() handler; 'leak/UAF' only mentioned as design risk,https://github.com/oven-sh/bun/issues/15475
15476,crash,high,debugger/jsc,1.1.37,no,no,SIGSEGV at 0x28 in JSC llint_op_put_to_scope when VS Code debugger attached,https://github.com/oven-sh/bun/issues/15476
15503,not-memory,high,install,1.1.38,yes,no,"bun install doesn't re-run trusted postinstall (re2) after node_modules wiped — lifecycle/trust logic bug, not a crash",https://github.com/oven-sh/bun/issues/15503
15518,leak,medium,http/server+napi(prisma),1.1.38,yes,no,Elysia+Prisma server RSS grows unbounded (70+ GB) under sustained request load,https://github.com/oven-sh/bun/issues/15518
15530,assert,high,bake/devserver,1.1.39-canary,no,yes,DevServer panics 'Error thrown while evaluating server code' when bundled output has invalid regex syntax,https://github.com/oven-sh/bun/issues/15530
15551,crash,high,napi/v8-shim,1.1.38,yes,no,SIGSEGV loading node-opencv native addon on Windows (frames inside node.exe V8 shim),https://github.com/oven-sh/bun/issues/15551
15693,not-memory,medium,napi,1.1.38,yes,no,"dd-trace+prisma throws 'Call JavaScript callback failed in threadsafe function (FunctionExpected)' — napi compat error, not a segfault",https://github.com/oven-sh/bun/issues/15693
15726,crash,high,spawn/signal-handler,1.1.38,yes,no,SIGILL in bmalloc (pas_thread_local_cache) — Bun::signalHandler allocates inside signal context during Ctrl+C of child_process,https://github.com/oven-sh/bun/issues/15726
15753,crash,high,napi/musl,1.1.38,yes,no,panic 'A C++ exception occurred' when loading onnxruntime native module on alpine/musl,https://github.com/oven-sh/bun/issues/15753
15767,crash,high,install/json-parser,1.1.38,no,yes,SIGSEGV in mimalloc via ArenaAllocator while json_parser parses package.json during bun update (heap corruption),https://github.com/oven-sh/bun/issues/15767
15775,crash,medium,musl/jsc,1.1.38,yes,no,SIGSEGV in JSC::CodeBlock::finishCreation on oven/bun:alpine — glibc symbols leaked into musl build,https://github.com/oven-sh/bun/issues/15775
15857,leak,medium,runtime/module-loader(watch),1.1.40,yes,yes,Running tsserver under bun leaks ~2-20MB per file save; source code not freed on reload (Windows/macOS),https://github.com/oven-sh/bun/issues/15857
15950,crash,high,install/patch,1.1.42,no,yes,SIGSEGV at 0xFFFF…FF1C in _mi_malloc_generic via json_parser while lockfile.loadFromDir during `bun patch --commit`,https://github.com/oven-sh/bun/issues/15950
15972,crash,high,napi,1.1.42,yes,no,SIGSEGV inside node-dpapi.node when called via NAPIFunction::call (dpapi.unprotectData),https://github.com/oven-sh/bun/issues/15972
16001,not-memory,high,ecosystem/bundler,1.1.38,no,no,"Tailwind styles missing in Astro project — user misconfiguration (confirmed in comments), no crash/leak",https://github.com/oven-sh/bun/issues/16001
16053,crash,high,fs/Blob.write,1.1.42,yes,yes,Zig safety panic 'access of union field fd while field path is active' in Blob WriteFile.createWithCtx during Bun.write,https://github.com/oven-sh/bun/issues/16053
16077,not-memory,high,install/lifecycle,1.1.42,yes,no,"`bun add ref` fails because the `ref` package's node-gyp build is incompatible with modern V8 headers — third-party compile error, not a Bun crash",https://github.com/oven-sh/bun/issues/16077
16110,crash,high,test-runner/module-loader,1.1.38,yes,no,SIGSEGV at 0xBD when importing non-type `Mock` (value) from 'bun:test' during module evaluation,https://github.com/oven-sh/bun/issues/16110
16111,crash,high,http_server/jsc-gc,1.1.17,no,no,SIGILL inside JSC bmalloc/Heap GC (JSRopeString::create) after weeks-long HTTP proxy run,https://github.com/oven-sh/bun/issues/16111
16199,crash,high,install/lockfile,1.1.43-canary,yes,yes,Segfault at 0x48 in lockfile Package.parseWithJSON/parseDependency (semver.zig/string_immutable.zig) during bun test,https://github.com/oven-sh/bun/issues/16199
16220,not-memory,high,debugger-webui,1.1.42,yes,no,"debug.bun.sh inspector frontend throws TypeError (isInsertionCaretInside) on Firefox reload — browser JS UI bug, not a runtime crash",https://github.com/oven-sh/bun/issues/16220
16339,leak,medium,http_server/streams/fetch,1.1.43,no,yes,Next.js on Bun RSS grows unbounded under load (suspected ReadableStream retained by HTTP server),https://github.com/oven-sh/bun/issues/16339
16376,crash,medium,http_server/runtime,1.1.43,yes,no,"Segfault at 0x98 starting Next.js standalone server on Cloud Run (baseline build, kernel 4.4.0); no symbolicated trace",https://github.com/oven-sh/bun/issues/16376
16415,crash,medium,worker/node:vm,1.1.43,yes,no,vitest with pool=vmThreads SIGSEGV on Linux (regressed from 1.1.22),https://github.com/oven-sh/bun/issues/16415
16443,crash,high,FileSystemRouter,1.1.43,yes,yes,panic '@memcpy arguments alias' in filesystem_router.zig match() when URL has query string with space+semicolon,https://github.com/oven-sh/bun/issues/16443
16501,crash,high,node:path,1.1.28,no,yes,"panic 'index out of bounds: index 2, len 2' in path.zig resolveWindowsT running compiled standalone exe",https://github.com/oven-sh/bun/issues/16501
16503,leak,medium,tcp/tls-socket,1.1.45,no,yes,TLS Socket (Socket2) accumulates Uint8Array buffers; RSS grows fast vs Node,https://github.com/oven-sh/bun/issues/16503
16504,crash,low,napi/dns,1.1.45,no,no,Segfault at 0x4190 on Azure with napi_module_register; corrupt trace (WTF::appendEncodedHostname / constructDNSObject / mixed garbage frames),https://github.com/oven-sh/bun/issues/16504
16522,crash,medium,napi/process_dlopen,1.1.45,yes,no,Segfault at 0x5 in drainMicrotasks running rspress dev (rspack native addon via dlopen),https://github.com/oven-sh/bun/issues/16522
16529,leak,medium,node:http/streams,1.1.45,yes,yes,node:http response.pipe(createWriteStream) retains ~3GB after writing 1GB file; never released by GC,https://github.com/oven-sh/bun/issues/16529
16649,needs-repro,low,cli/upgrade,1.2,no,no,Body deleted ('/del'); no information beyond title 'error when upgrading to v1.2',https://github.com/oven-sh/bun/issues/16649
16759,not-memory,high,install/lifecycle-scripts,1.2.2,yes,no,"@tensorflow/tfjs-node postinstall fails: node-pre-gyp 404 for napi-v8 (node 23.x ABI), falls back to source build — not a crash/leak",https://github.com/oven-sh/bun/issues/16759
16912,not-memory,high,tcp/tls,1.2.1,yes,no,"Bun.listen tls.key/cert as BunFile[] throws 'Failed to listen' — API feature gap, not a crash",https://github.com/oven-sh/bun/issues/16912
16957,crash,high,napi,1.2.1,no,no,One-off segfault at 0x68 inside @parcel/watcher native addon (watcher.node) during bunx @tailwindcss/cli --watch,https://github.com/oven-sh/bun/issues/16957
17121,crash,high,bake/bundler,1.2.3-canary,no,yes,Segfault at 0xF in JSC::moduleLoaderResolve during `bun bake` on large Vite+React app,https://github.com/oven-sh/bun/issues/17121
17176,crash,low,http_server/fetch,1.2.2,no,no,"Segfault at 0x38 after ~17min running Nuxt server under load (musl, 0.25CPU/512M); corrupt mixed trace",https://github.com/oven-sh/bun/issues/17176
17228,leak,high,http_server/Bun.file-stream,1.2.2,yes,yes,Returning new Response(Bun.file(path).stream()) leaks per-request; isolated to Bun.file().stream() (node:fs stream OK),https://github.com/oven-sh/bun/issues/17228
17231,leak,low,unknown,1.2.2,no,no,"Gradual RSS growth 50MB→2GB with axios/drizzle/bullmq/redis; reporter cannot isolate, may be machine-specific",https://github.com/oven-sh/bun/issues/17231
17262,crash,low,compile/standalone-executable,1.2.2,yes,no,Compiled Windows exe with --windows-icon either crashes or falls back to CLI help; icon resource edit corrupts the embedded module trailer (rcedit causes same),https://github.com/oven-sh/bun/issues/17262
17285,crash,high,napi,1.2.2,no,no,napi_fatal_error panic from user's napi-rs ThreadsafeFunction callback (InvalidArg get_named_property) during event loop tick,https://github.com/oven-sh/bun/issues/17285
17307,crash,medium,jsc/runtime,1.2.2,no,no,Segfault at 0x1A inside JSC llint_entry on Windows when using langfuse npm library,https://github.com/oven-sh/bun/issues/17307
17332,not-memory,high,node:fs,1.2.2,yes,no,mkdir({recursive:true}) on ../ path throws EEXIST + logs OBJECT_NAME_INVALID warning instead of succeeding (Windows) — user calls it a crash but it's a thrown error,https://github.com/oven-sh/bun/issues/17332
17348,not-memory,high,bun:serve,,no,no,"Bun.serve Request.url is built from attacker-controlled Host header; security/behavior issue, 'crash' is hypothetical downstream parsing failure",https://github.com/oven-sh/bun/issues/17348
17375,not-memory,high,jsc/regex,1.2.2,yes,no,"User code creates a fresh /g regex literal each loop iteration so lastIndex never advances — infinite loop fills array; correct JS semantics, not a Bun leak",https://github.com/oven-sh/bun/issues/17375
17381,crash,high,console/stdout,1.2.2,yes,yes,panic 'attempt to unwrap error: EPIPE' in ConsoleObject.zig printAs when piping to `more` on Windows and pipe closes,https://github.com/oven-sh/bun/issues/17381
17500,not-memory,medium,spawn,1.2.2,yes,no,Spawning `bash -ci` causes parent to be Stopped (SIGTTIN/SIGTSTP job-control) — not a segfault; TTY/process-group handling issue,https://github.com/oven-sh/bun/issues/17500
17504,crash,high,bun:serve (hot reload),1.2.2,yes,yes,Segfault at 0xFFFFFFFFFFFFFFFF in uws_app_clear_routes via server.zig onReloadFromZig during --watch --hot reload,https://github.com/oven-sh/bun/issues/17504
17574,not-memory,high,cli,,no,no,Feature request for built-in pm2-like process manager; 'crash' only appears as 'auto restart when process crashes',https://github.com/oven-sh/bun/issues/17574
17602,crash,high,bundler/dev-server,1.2.3,yes,yes,Segfault in mi_heap_destroy via bundle_v2.ThreadPool.Worker.deinitCallback when POSTing to react-template dev server,https://github.com/oven-sh/bun/issues/17602
17621,crash,high,runtime/startup,1.2.3,yes,no,Baseline build segfaults at stack address inside Transpiler.init/VirtualMachine.init on `bun -e` in Docker on VMware Xeon host,https://github.com/oven-sh/bun/issues/17621
17661,crash,high,bun:serve / test-runner,1.2.3,yes,yes,Segfault at 0x4A in uws HttpRouter executeHandlers when tests reuse a port after server.stop() didn't fully release it,https://github.com/oven-sh/bun/issues/17661
17688,crash,high,bundler/dev-server (js_printer),1.2.3,no,yes,Segfault at 0x0 in mi_heap_malloc during js_printer ArrayList growth while HMR-reloading App.tsx after long uptime,https://github.com/oven-sh/bun/issues/17688
17723,leak,medium,"http/runtime (node:http, express)",1.2.2-1.2.4,no,no,"Express/Node-compat servers in Docker/k8s steadily grow RSS to container limit then OOMKilled; multiple users, even with bare health-check endpoint",https://github.com/oven-sh/bun/issues/17723
17736,crash,high,test-runner / process-exit,1.2.2-1.2.4,yes,no,"Segfault inside ntdll during Global.exit() after `bun test` finishes (cornerstonejs, canvas napi addon loaded)",https://github.com/oven-sh/bun/issues/17736
17752,crash,high,bundler/dev-server (HMR),1.2.5-canary,yes,yes,"Segfault in bundle_v2.zig thread_pool RunnerTask.call during --hot reload of react template (intermittent, after ~20 reloads)",https://github.com/oven-sh/bun/issues/17752
17762,not-memory,high,node:cluster / node:net,1.2.2-1.2.4,yes,no,"node:cluster worker net.Server fails with 'Failed to listen at 0.0.0.0' inside Docker; thrown JS error, not a crash",https://github.com/oven-sh/bun/issues/17762
17874,assert,high,bake/dev-server,1.2.4,yes,yes,Internal assertion failure (bit_set index OOB) in DevServer.isFileCached when HTML imports a TS file that itself imports the HTML (circular),https://github.com/oven-sh/bun/issues/17874
17891,crash,medium,runtime / node:http,1.2.4,no,no,Segfault at 0x40 in WTF::WordLock::lockSlow when starting a hatchet worker (langgraph); stack trace is corrupted/unsymbolicated,https://github.com/oven-sh/bun/issues/17891
17913,not-memory,high,node:tls,1.2.4,yes,no,node:tls checkServerIdentity throws 'cannot be destructured' (cert is null) on remote MongoDB TLS; also hangs on linux/amd64,https://github.com/oven-sh/bun/issues/17913
17945,crash,high,install/patch,1.2.5-canary.70,yes,yes,bun patch --commit segfaults at 0xFFFFFFFFFFFFFFFF in wyhash/stringHash via cachedTarballFolderName for github/tarball deps,https://github.com/oven-sh/bun/issues/17945
17947,crash,high,http/streams,1.2.4,no,no,Segfault at 0x10 in WebCore::structuredCloneForStream during SSE ReadableStream response after long uptime (RSS 13GB),https://github.com/oven-sh/bun/issues/17947
17956,assert,high,bake/dev-server,1.2.4,yes,yes,DevServer.finalizeBundle asserts 'HTML bundle not registered correctly' after editing HTML during HMR,https://github.com/oven-sh/bun/issues/17956
18003,assert,high,bake/dev-server,1.2.4,yes,yes,DevServer HMR asserts in ArrayList.deinit (mimalloc_free) inside finalizeBundle when client JS edited,https://github.com/oven-sh/bun/issues/18003
18025,not-memory,medium,napi/runtime,1.2.5,yes,no,"LynxJS rspeedy fails under bun; 1.2.4 segfault already fixed, remaining is node compat (require.resolve paths, regex/install diff)",https://github.com/oven-sh/bun/issues/18025
18031,crash,high,tls/crypto,1.2.4,no,no,Segfault at 0x0 in BoringSSL OPENSSL_realloc during x509 parse via us_get_default_ca_store for TLS WebSocket,https://github.com/oven-sh/bun/issues/18031
18033,crash,medium,runtime/icu,1.2.4,no,no,Segfault in icudt75_dat on musl-based Google Container Optimized OS (glibc/musl binary mismatch),https://github.com/oven-sh/bun/issues/18033
18047,assert,high,transpiler/macros,1.2.4,yes,no,Explicit panic 'TODO: support template literals in macros' in js_ast.zig when macro called as tagged template,https://github.com/oven-sh/bun/issues/18047
18141,crash,medium,module-loader/test-runner,1.2.4,yes,no,Flaky (~20%) segfault with ASCII-garbage ptr in JSC::JSLockHolder during CommonJS require in bun test,https://github.com/oven-sh/bun/issues/18141
18145,not-memory,high,bundler/single-file-executable,1.2.5,yes,no,Standalone exe fails to embed .wasm asset (ENOENT $bunfs/root/...wasm); separate Windows build assertion,https://github.com/oven-sh/bun/issues/18145
18181,crash,medium,runtime/gc,1.2.5,no,no,SIGILL in bmalloc/JSC IncrementalSweeper during MarkedBlock sweep triggered by Timer.fire (heap corruption),https://github.com/oven-sh/bun/issues/18181
18202,assert,high,install/lockfile,1.2.5,no,yes,bun install asserts in lockfile.zig parseWithJSON when project is on SMB network share (Windows),https://github.com/oven-sh/bun/issues/18202
18249,crash,high,napi,1.2.2,yes,no,Segfault at 0x0 in NapiClass_ConstructorFunction/napi_new_instance during electron-builder; gone in 1.2.5,https://github.com/oven-sh/bun/issues/18249
18250,not-memory,high,runtime/sourcemap,1.2.5,no,no,"JS TypeError from source-map-support (column=-1 in CallSite); node:module sourcemap API gap, not a process crash",https://github.com/oven-sh/bun/issues/18250
18255,not-memory,high,http/Bun.serve,1.2.5,no,no,"'Expected fetch() to be a function' TypeError; user was running stale bun via SST, not a bun bug",https://github.com/oven-sh/bun/issues/18255
18262,assert,high,shell,1.2.5,yes,no,Bun.$ shell panics 'TODO SHELL READABLE STREAM' when redirecting ReadableStream as stdin,https://github.com/oven-sh/bun/issues/18262
18273,leak,low,runtime/transpiler,1.2.5,no,no,Webpack build script peaks at 1500MB under bun vs 480MB under node/tsx on Windows (not on Linux),https://github.com/oven-sh/bun/issues/18273
18279,crash,high,transpiler/js_parser,1.2.6-canary,yes,no,js_parser visitExprInOut stack-overflow segfault on ~300+ chained method calls (Kysely .addColumn); regression since 1.1.43,https://github.com/oven-sh/bun/issues/18279
18281,crash,high,bundler/dev-server,1.2.5,yes,yes,Heap-corruption segfault (ASCII-garbage addr) in mi_malloc/ArrayList inside js_printer during dev_server rebundle,https://github.com/oven-sh/bun/issues/18281
18355,crash,low,runtime/musl-baseline,1.2.5,no,no,Segfault running vite build on musl x86_64-baseline under Rosetta emulation; stack trace is garbled/mis-symbolicated,https://github.com/oven-sh/bun/issues/18355
18389,crash,medium,napi/runtime,1.2.5,no,no,Multiple worker threads simultaneously segfault at 0x4190 running sequelize seed script on musl-baseline (NAPI/dlopen),https://github.com/oven-sh/bun/issues/18389
18416,crash,high,bundler/standalone-executable,1.2.5,yes,no,Cross-compiled --bytecode executables segfault in JSC::CachedTypes decode on target OS (bytecode cache not portable across platforms),https://github.com/oven-sh/bun/issues/18416
18502,crash,high,bundler/dev-server/sourcemaps,1.2.6,no,yes,Dev server segfaults in mi_malloc inside js_printer.quoteForJSON during bundle_v2 SourceMapData worker task,https://github.com/oven-sh/bun/issues/18502
18520,assert,high,bake/dev-server,1.2.7-canary,no,yes,panic 'Safety lock violated on thread' in output.zig configureThread when dev server starts on Windows,https://github.com/oven-sh/bun/issues/18520
18558,crash,medium,runtime/transpiler,1.2.7,no,yes,Segfault at 0xC in JSC llint when --watch restarts on a file with a syntax error in a large repo (missing exception check),https://github.com/oven-sh/bun/issues/18558
18590,crash,high,http/fetch,1.2.7,no,yes,Segfault at 0x40 in uws.zig NewSocketHandler / http.zig NewHTTPContext on HTTP thread (null socket deref during fetch),https://github.com/oven-sh/bun/issues/18590
18608,leak,high,fetch/blob/formdata,1.2.7,yes,yes,RSS grows unbounded uploading FormData via fetch; Blob created for form-encoded request body never freed (confirmed by maintainer),https://github.com/oven-sh/bun/issues/18608
18622,crash,high,debugger/inspector,1.2.7,yes,no,SIGILL in bmalloc/JSC JSString sweep while BunInspectorConnection sends debugger messages during large console.log loop,https://github.com/oven-sh/bun/issues/18622
18625,leak,medium,runtime/http_server,1.2.8-canary,no,no,Long-running TypeScript-language-service server grows to 18-32GB RSS over ~2.5h then segfaults at 0x0 in bmalloc allocator (OOM from leak),https://github.com/oven-sh/bun/issues/18625
18654,crash,high,http/bun:serve/streams,1.2.7,yes,yes,Segfault at 0x0 in uWS::HttpResponse::sendTerminatingChunk during GC finalize of JSReadableHTTPResponseSinkController (writing to freed response),https://github.com/oven-sh/bun/issues/18654
18657,crash,medium,ffi,1.2.7,yes,no,Segfault inside user's Zig-compiled SDL DLL (ucrtbase/ntdll frames) when called via FFI; intermittent,https://github.com/oven-sh/bun/issues/18657
18660,not-memory,high,vscode-extension,,yes,no,VSCode extension logs EADDRINUSE for diagnostics unix socket on startup; not a runtime crash or leak,https://github.com/oven-sh/bun/issues/18660
18662,not-memory,high,node:stream/fs,1.2.7,yes,no,"node:stream backpressure regression: WriteStream returns false, drain never fires, process exits early with code 0 (no crash)",https://github.com/oven-sh/bun/issues/18662
18677,crash,high,napi/test-runner,1.2.7,yes,yes,Segfault in JSC::Interpreter::unwind casting thrown value to ErrorInstance after napi_throw_type_error inside expect().toThrow(),https://github.com/oven-sh/bun/issues/18677
18683,crash,high,fs/windows,1.2.8,no,yes,"panic 'index out of bounds: index 76231, len 49151' in Windows fd table (bun.zig put) during node:fs open under --watch",https://github.com/oven-sh/bun/issues/18683
18714,crash,low,runtime/node-http,1.2.8,yes,no,Segfault at high address in vmEntryToNative running Next.js dev with node-csgo-gsi http server; trace is only JIT entry frame,https://github.com/oven-sh/bun/issues/18714
18717,crash,high,bake/dev-server/watcher,1.2.8,no,yes,EMFILE exhausts fds then hits todoPanic 'TODO: log watcher error' in DevServer.zig DirectoryWatchStore.trackResolutionFailure,https://github.com/oven-sh/bun/issues/18717
18718,crash,high,napi,1.2.8,yes,no,Segfault inside nvoglv64.dll (NVIDIA OpenGL) via @napi-rs/canvas index.node after benchmark completes; no Bun frames,https://github.com/oven-sh/bun/issues/18718
18729,crash,high,napi,1.2.8,no,yes,Segfault in napi.NapiFinalizerTask.runOnJSThread during event loop tick while looping libsql/drizzle async DB calls,https://github.com/oven-sh/bun/issues/18729
18742,crash,high,napi,1.2.8,no,no,Segfault at 0x0 in napi_async_work.runFromThreadPool when running rocksdb native addon,https://github.com/oven-sh/bun/issues/18742
18743,crash,high,http/fetch,1.2.9-canary.18,no,no,Segfault at 0x40 in us_internal_ssl_socket_context_connect on HTTP thread during outgoing fetch,https://github.com/oven-sh/bun/issues/18743
18746,not-memory,high,bundler/fs,1.2.3-1.2.8,yes,no,"bun build emits 'Unexpected creating outdir' error on Synology Docker (regressed 1.2.2→1.2.3); fs syscall error, not a crash",https://github.com/oven-sh/bun/issues/18746
18779,crash,high,napi,1.2.7,yes,no,Segfault at 0x0 in node_module_register while dlopen-ing headless-gl webgl.node,https://github.com/oven-sh/bun/issues/18779
18781,crash,high,watcher,1.2.7,no,no,"panic 'index out of bounds: 128, len 128' in WindowsWatcher.zig next() with --watch --hot across 8 nx services",https://github.com/oven-sh/bun/issues/18781
18792,crash,high,install/patch,1.1.42 / 1.2.8,yes,yes,Segfault at 0xFFFFFFFFFFFFFFFF in `bun patch --commit` for github: dependency (cache-path formatting),https://github.com/oven-sh/bun/issues/18792
18885,not-memory,high,build,1.2.9-debug,yes,no,Self-built bun SIGILLs on pre-Haswell CPUs because CMake defaults to -march=haswell; build-config request,https://github.com/oven-sh/bun/issues/18885
18888,crash,high,transpiler/dev-server,1.2.8,no,yes,Segfault at 0x0 in HashMapUnmanaged (Allocator vtable null) inside js_parser during dev-server reparse,https://github.com/oven-sh/bun/issues/18888
18940,needs-repro,low,runtime/dotenv,1.2.9,no,no,"'exited with code 1' when .env present in Docker on kernel 3.10 — no backtrace, no panic output",https://github.com/oven-sh/bun/issues/18940
18954,crash,high,napi,1.2.9,yes,no,Segfault loading tigerbeetle-node client.node on Windows (frames in node.exe/client.node/ExceptionScope),https://github.com/oven-sh/bun/issues/18954
18960,crash,medium,resolver,1.2.9,no,yes,SIGBUS in PackageManager.runTasks/Resolver.loadNodeModules while running dpdm (TS compiler API); regression from 1.2.2,https://github.com/oven-sh/bun/issues/18960
18974,not-memory,high,node:net,1.2.9,no,no,ECONNRESET/ECONNREFUSED unhandledRejection storm with Nuxt dev on Windows; user traced to sharp/ohash deps,https://github.com/oven-sh/bun/issues/18974
18995,not-memory,high,install,,no,no,"Bun won't install on ia32 — unsupported arch, empty report with screenshot only",https://github.com/oven-sh/bun/issues/18995
19004,crash,high,watcher/module-loader,1.2.9,no,yes,Watcher EBUSY then panic 'integer overflow' in module_loader.zig transpileSourceCode on Windows --watch,https://github.com/oven-sh/bun/issues/19004
19010,crash,high,sql/postgres,1.2.9,yes,yes,panic 'incorrect alignment' in postgres_types.zig init() via DataCell.fromBytes for parameterized SELECT,https://github.com/oven-sh/bun/issues/19010
19049,crash,high,test-runner/jsc-gc,1.2.9,yes,no,Segfault at 0x30 in JSC MarkedBlock sweep/Heap dtor during bun test with mocked http2 module + setTimeout,https://github.com/oven-sh/bun/issues/19049
19051,crash,high,test-runner/watcher,1.2.9,yes,no,panic 'Failed to enable File Watcher: ProcessFdQuotaExceeded' when bun test scans >12k files,https://github.com/oven-sh/bun/issues/19051
19053,crash,medium,bundler/dev-server,1.2.9,no,yes,Segfault at garbage addr in js_parser/BundledAst.init/ParseTask while visiting react-refresh/runtime in dev server,https://github.com/oven-sh/bun/issues/19053
19086,not-memory,high,node:dns,1.2.10,no,no,"ioredis triggers repeated getaddrinfo EAI_AGAIN loop during Nuxt build under bun; slows build, no crash",https://github.com/oven-sh/bun/issues/19086
19087,needs-repro,low,jsc/runtime,1.2.10,no,no,"Segfault at 0x31F, only frame WTF::jscSignalHandler, process_dlopen feature; no repro, no body",https://github.com/oven-sh/bun/issues/19087
19118,crash,medium,runtime/error-stack,1.2.5,no,no,Segfault at 0x28 in computeErrorInfoWithoutPrepareStackTrace (ZigGlobalObject.cpp) after ~17h uptime with 700K fetches,https://github.com/oven-sh/bun/issues/19118
19120,crash,medium,napi/native-addon,1.2.10,no,no,Segfault inside third-party index.node native addon (ntdll.dll) running Astro dev on Windows,https://github.com/oven-sh/bun/issues/19120
19125,crash,low,runtime,1.2.10,no,no,Segfault at 0x1A on macOS with garbled/mis-symbolicated trace (toInvalidArguments / Interpreter::executeProgram),https://github.com/oven-sh/bun/issues/19125
19132,crash,low,runtime/jit,1.2.5,no,no,SIGILL (Illegal instruction) on linux baseline in Cloud Build; garbled trace mixing DFG JIT and install code; reporter says it stopped after rebase,https://github.com/oven-sh/bun/issues/19132
19139,crash,medium,runtime/dev-server,1.1.26,no,yes,Zig panic 'cast causes pointer to be null' running Nuxt dev server on Windows baseline,https://github.com/oven-sh/bun/issues/19139
19143,crash,medium,hot-reload,1.2.10,no,no,Segfault at 0x10 in JSC::BytecodeGenerator when running Hono server with --hot,https://github.com/oven-sh/bun/issues/19143
19154,crash,medium,fetch,1.2.10,yes,no,"Bus error (SIGBUS) on macOS when firing 10,000 concurrent fetch() requests; trace in JSC DFG JIT region",https://github.com/oven-sh/bun/issues/19154
19156,assert,high,bundler/resolver,1.2.10,yes,yes,Panic 'Expected pretty file path to have only forward slashes' on Windows when bundling (bunup); still repros on 1.3.1,https://github.com/oven-sh/bun/issues/19156
19158,crash,high,install,1.2.10,yes,yes,Segfault in PackageManager.init during 'bun init' → install on macOS; 4.60TB commit charge indicates wild allocation,https://github.com/oven-sh/bun/issues/19158
19176,not-memory,high,websocket,1.2.10,yes,no,"WebSocket onerror event.error is undefined on network loss (Node compat gap), causing discord.js to throw — not a crash/leak",https://github.com/oven-sh/bun/issues/19176
19186,crash,high,socket/net,1.2.10,yes,yes,Segfault at 0x40 in uws.zig NewSocketHandler / socket.zig during Bun.connect (Google PubSub publish),https://github.com/oven-sh/bun/issues/19186
19203,crash,medium,install,1.2.9,no,no,Segfault during bun install on Windows; entire stack is in third-party ISMCFileHook64.dll / windows.storage.dll (AV/hook software),https://github.com/oven-sh/bun/issues/19203
19254,leak,medium,runtime/console,1.2.10,yes,no,Heap grows unbounded with setInterval + getHeapStatistics + console.table; >3x Node baseline RSS on Windows,https://github.com/oven-sh/bun/issues/19254
19297,assert,high,transpiler/parser,1.2.10,yes,yes,js_parser panic 'Scope mismatch while visiting' (function_args vs block) parsing wechatpay-axios-plugin,https://github.com/oven-sh/bun/issues/19297
19317,crash,high,install,1.1.8,yes,yes,Panic 'index out of bounds' in install.zig enqueueDependencyWithMain during bun install (expo/react-native deps),https://github.com/oven-sh/bun/issues/19317
19322,leak,high,ffi,1.2.10,yes,yes,JSCallback leaks memory each create/close cycle when used as callback for native (Dawn WebGPU) async calls; minimal Zig+TS repro provided,https://github.com/oven-sh/bun/issues/19322
